Group	Types	Tokens	TTR	STDTTR	AveWLgth
Defoe_Moll.tokenized	5990	136241	4.39662069421099	35.1024199654717	3.92756218759404
Defoe_Singleton.tokenized	5924	110842	5.3445444867469	36.1852945582157	4.03320943324733
Defoe_Crusoe.tokenized	8696	232321	3.74309683584351	36.4376759857196	4.01948166545426
Trollope_Phineas.tokenized	9833	263228	3.73554485085173	37.1792065390735	4.11835367058216
Defoe_Journal.tokenized	6136	94692	6.47995606809445	37.2844174018857	4.26477421535082
Trollope_Forgive.tokenized	10871	316150	3.4385576466867	37.4179810725536	4.11550213506247
Trollope_EDiamonds.tokenized	10348	269811	3.83527728669327	37.8120756267969	4.19559617658287
Richardson_Pamela.tokenized	12610	438935	2.87286272454919	38.0749247804299	4.00969163999225
Trollope_DrThorne.tokenized	10242	217722	4.70416402568413	38.2349945360735	4.1857965662634
Austen_Emma.tokenized	7538	160304	4.70231560035932	40.0339653481522	4.27986201217686
Richardson_Clarissa.tokenized	20842	935700	2.22742331943999	40.0758699633652	4.14430907342097
Trollope_Barchester.tokenized	11333	198352	5.7135798983625	40.2489378711729	4.29539908848915
Fielding_Amelia.tokenized	9365	211648	4.42479966737224	40.2492021896099	4.27368555337164
D_60b_GE	11464	184770	6.20447042268766	40.2675184275175	4.13324673918926
Collins_Moonstone.tokenized	9241	194132	4.76016318793398	40.2874592074582	4.24492098160015
Swift_Stella.tokenized	7985	189457	4.21467668125221	40.6710768167675	3.96174329795151
D_49_DC	15185	355970	4.26580891648172	40.824716205257	4.16349411467258
Collins_Woman.tokenized	10686	246796	4.32989189452017	40.9249262506852	4.28831909755425
D_52_BH	16333	354230	4.61084606046919	41.2508511941195	4.22654207718149
D_64_OMF	16370	326153	5.01911679487847	41.269634826406	4.2818523821642
Austen_Sense.tokenized	6582	119497	5.50808806915655	41.2850754527156	4.40721524389733
Austen_Mansfield.tokenized	8262	159792	5.17047161309702	41.3462941919182	4.34203214178432
Austen_Persuasion.tokenized	5975	83298	7.17304136954068	41.5600830936396	4.38902494657735
D_59_TTC	10251	136168	7.52820045825744	41.5844977407014	4.29792609129898
D_55_LD	15967	338357	4.71898024867226	41.633987754392	4.30849664703257
Sterne_Sentimental.tokenized	5055	40780	12.3957822461991	41.7703564727953	4.05912211868563
Fielding_TomJones.tokenized	13253	346214	3.82797922672104	41.8581674701698	4.36350638622355
Austen_Pride.tokenized	6591	122233	5.39216087308665	41.8681775358519	4.40675594970262
Gaskell_Cranford.tokenized	6845	70947	9.64804713377591	41.9758124247063	4.24127870100216
D_54_HT	9166	103369	8.86726194507057	42.0251302897638	4.2720835066606
Trollope_Warden.tokenized	7061	72028	9.8031321152885	42.170450097847	4.31432220803021
Collins_AfterDark.tokenized	9533	136880	6.9644944476914	42.3928998009282	4.36551724137931
Fielding_JAndrews.tokenized	8696	125332	6.93837168480515	42.4343851596857	4.35200108511793
D_43b_CB	10973	154443	7.10488659246453	42.4441010704134	4.25543404362774
D_46b_DS	16019	342259	4.68037363517102	42.599282956424	4.34026862697548
Austen_Northanger.tokenized	6176	77249	7.99492550065372	42.6084440325401	4.3923028129814
Sterne_Tristram.tokenized	14867	186426	7.97474601182238	42.62589942507	4.26455537317756
Defoe_Military.tokenized	7477	80612	9.27529400089316	42.7870733478572	4.46013000545824
Fielding_Journey.tokenized	5377	44949	11.9624463280607	42.7874581430743	4.3295735166522
G.Eliot_ABede.tokenized	12451	215100	5.78847047884705	43.1101851851842	4.19032078103208
D_43_MC	16656	336519	4.94949765094987	43.1131684419346	4.31022319690716
G.Eliot_Mill.tokenized	12974	207331	6.25762669354799	43.2850641993946	4.296226806411
D_70_MED	9554	94096	10.153460295868	43.3721929824556	4.34818695800034
Fielding_JWild.tokenized	6888	69919	9.85139947653713	43.4012466967195	4.45249502996324
G.Eliot_Silas.tokenized	7315	71389	10.246676658869	43.5598864610107	4.31298939612545
Gaskell_MBarton.tokenized	10501	160589	6.5390531107361	43.6320608674552	4.19835729719968
Goldsmith_Vicar.tokenized	6364	62976	10.1054369918699	43.6540202966429	4.34236852134146
G.Eliot_Middlemarch.tokenized	16475	318062	5.17980771044639	43.7039437759108	4.40593029032075
Bronte.A_AGrey.tokenized	6899	68219	10.113018367317	43.7699556614382	4.2640320145414
Thackeray_BLyndon.tokenized	10353	126042	8.21392869043652	43.8638545181844	4.25159073959474
G.Eliot_Deronda.tokenized	16050	311113	5.15889724955241	43.8996511232112	4.40930465779315
D_40b_OCS	12876	217375	5.92340425531915	43.923088685014	4.34005290396779
D_38_NN	15738	322261	4.88361917824372	43.9492307509798	4.43311787650383
D_37b_OT	10929	157601	6.93460066877748	43.9545051496442	4.35193304611011
D_36_PP	16206	300129	5.39967813840049	44.0045455716072	4.47540224370187
Swift_Gulliver.tokenized	8371	104040	8.04594386774317	44.0180952380947	4.37510572856593
Gaskell_Sylvia.tokenized	11988	190827	6.2821298872801	44.1957539077081	4.25168346198389
D_56_RP	10896	91571	11.8989636456957	44.350974644026	4.41340599097968
D_41_BR	13693	253979	5.3913906267841	44.4963368534485	4.31791211084381
D_40a_MHC	6410	47335	13.5417766980036	44.8922885572137	4.33983310446815
G.Eliot_Brother.tokenized	3310	16683	19.8405562548702	44.8933855826371	4.46100821195229
Thackeray_Vanity.tokenized	17295	303879	5.69141006782305	45.1662748488097	4.42454397967612
D_60a_UT	14562	142968	10.1854960550613	45.3180026584977	4.46604834648313
Smollett_RR.tokenized	12369	191464	6.46022228721848	45.3381645114931	4.42381335394643
Bronte.C_JEyre.tokenized	13410	186070	7.20696512065351	45.4519480519471	4.22301284462836
D_37a_OEP	8593	67119	12.8026341274453	45.5906945130989	4.64261982449083
D_33_SB	14529	187480	7.74962662684019	45.8715868794316	4.59899722637081
Smollet_PP.tokenized	16341	342002	4.77804223367115	46.3731778425638	4.67087619370647
D_42_AN	10885	101896	10.6824605480097	46.6764093137249	4.46286409672607
Smollett_TFI.tokenized	12897	121074	10.6521631398979	46.7875498449262	4.55319887011249
Smollett_HC.tokenized	13503	150418	8.97698413753672	47.1700212300761	4.47250993897007
D_46a_PFI	9230	72553	12.7217344561906	47.2013748173098	4.49294998139291
Swift_Tub.tokenized	6442	44121	14.600757009134	47.2689072543616	4.54137485551098
Smollett_LG.tokenized	9878	89338	11.0568850880924	47.4361209730436	4.60388636414515
Smollett_FCF.tokenized	11571	157679	7.3383266002448	47.4515939300153	4.73671826939541
Bronte.C_Professor.tokenized	9953	88076	11.3004677778282	47.9274985215843	4.4141991007766
Bronte.C_Villette.tokenized	15882	194467	8.16693834943717	48.0929742491615	4.38576725099888
Bronte.E_Wuthering.tokenized	9749	116431	8.37319957743212	48.4156642274963	4.30485008288171
