word	WS		TM
the	4.178195		2.6934183
and	3.7932556		2.4644032
i	1.8765788		3.3157423
a	1.5838647		2.4942746
of	2.78279		1.7624216
you	1.4796102		2.220452
is	1.7643049		1.842079
my	1.1347688		1.7375287
it	1.2310036		1.4935776
to_infinitive	0.9422992		1.3591557
in_preposition	1.652031		1.219755
not	0.8019568		0.866275
to_preposition	1.1026906		1.0803545
will_verb	0.8861622		0.8364035
your	0.9222503		0.90610373
me	0.61750674		1.0455043
be	0.6977024		0.96584684
with	0.95432854		0.5526237
but	0.649585		0.6970029
he	0.80997634		1.1002688
have	0.537311		0.8961466
this	0.6255263		0.6123668
for_preposition	0.649585		0.6422384
his	1.1267493		0.9160609
as	0.78591764		0.6521956
all	0.50924253		0.6123668
what	0.33682185		0.4928806
him	0.52528167		0.66713136
thou	0.4210273		0.3236085
are	0.39295882		0.54764515
that_relative	0.5132523		0.39828736
sir	0.056136973		0.7019815
shall	0.5413208		0.41820174
that_demonstrative	0.3729099		0.756746
if	0.4972132		0.35845864
do	0.41300774		0.378373
now	0.3729099		0.4928806
by_preposition	0.3769197		0.4231803
we_truePlural	0.38894904		0.26386538
thy	0.28870443		0.27880114
no_adjective	0.26063594		0.29871553
or	0.26464573		0.2539082
they	0.40498817		0.22901523
that_conjunction	0.45310557		0.2489296
she	0.09623481		0.1842079
good	0.38493925		0.29871553
at	0.3007338		0.3086727
thee	0.2486066		0.25888678
would	0.2686555		0.34352285
so_adverbDegree	0.25662616		0.4430947
come	0.18445006		0.29871553
then	0.2726653		0.3086727
am	0.10425438		0.3733944
here	0.16440114		0.25888678
o	0.16440114		0.35348004
how	0.18445006		0.23399383
was	0.2245479		0.28875834
there	0.32078272		0.27382258
her_adjective	0.1002446		0.20910087
them	0.33281207		0.24395101
let	0.2486066		0.23897243
from	0.31677294		0.21905805
more	0.20449898		0.26884398
their	0.47716427		0.1941651
our_truePlural	0.445086		0.19914368
well	0.20449898		0.28875834
her_personalPronoun	0.060146756		0.15433635
on_preposition	0.24058703		0.15931495
must	0.19647941		0.17922932
may	0.2486066		0.16429354
man	0.20449898		0.32858709
for_conjunction	0.36489034		0.20412228
see	0.1523718		0.26386538
love	0.15638158		0.13442199
when	0.19246963		0.11948621
one	0.21251854		0.26386538
make	0.12029351		0.23399383
yet	0.15638158		0.21905805
which_relative	0.2726653		0.20910087
lord	0.2245479		0.3733944
ye	0.008019568		0.02489296
so_adverbManner	0.2486066		0.19914368
too	0.09623481		0.17425072
know	0.19647941		0.22403665
why	0.10826416		0.26884398
us_truePlural	0.23657724		0.12944339
were	0.16039136		0.20412228
can	0.10826416		0.2539082
should	0.18044028		0.27880114
had	0.06415654		0.17922932
an	0.19246963		0.28875834
than	0.15638158		0.2489296
such	0.14836201		0.16429354
out	0.19246963		0.17922932
upon_preposition	0.24459681		0.22403665
these	0.12029351		0.069700286
never	0.17242071		0.22403665
some	0.14034243		0.069700286
take	0.18445006		0.1941651
say	0.13633265		0.109529026
hath	0.22855768		0.014935777
go	0.16039136		0.12944339
where	0.08821525		0.14437917
like_preposition	0.2004892		0.069700286
up_adverb	0.1764305		0.1244648
did	0.18845984		0.08961466
most	0.16841093		0.19914368
much	0.1002446		0.14437917
give	0.18445006		0.15931495
tell	0.18445006		0.07467888
think	0.11227395		0.12944339
any	0.1243033		0.069700286
nor	0.09222503		0.064721696
mine	0.072176106		0.1244648
has	0.028068487		0.2489296
time	0.09623481		0.19914368
no_exclamation	0.06816632		0.069700286
own	0.06415654		0.14437917
nay	0.03207827		0.21905805
life	0.056136973		0.1244648
men	0.17242071		0.1244648
made	0.060146756		0.13442199
great	0.19647941		0.08463606
been	0.044107623		0.12944339
pray	0.072176106		0.069700286
cannot	0.08420546		0.09459325
thus	0.08019568		0.054764513
into	0.1523718		0.17922932
heart	0.08821525		0.059743106
ever	0.048117407		0.08463606
again	0.044107623		0.114507616
could	0.0761859		0.15433635
still	0.036088053		0.11948621
first	0.03207827		0.1244648
TRUE	0.0761859		0.13442199
away	0.072176106		0.12944339
very	0.08821525		0.16927212
art	0.05212719		0.08463606
both	0.05212719		0.104550436
before	0.1002446		0.1244648
king	0.36890012		0.009957184
nothing	0.048117407		0.12944339
though	0.09623481		0.069700286
lady	0.024058703		0.059743106
aye	0.04009784		0.16927212
hand	0.09623481		0.109529026
those	0.06816632		0.1244648
speak	0.08821525		0.054764513
father	0.036088053		0.12944339
death	0.060146756		0.019914368
look	0		0.08463606
done	0.056136973		0.039828736
hear	0.08019568		0.114507616
two	0.04009784		0.064721696
in_adverb	0.05212719		0.04978592
name	0.11628373		0.069700286
other	0.060146756		0.064721696
world	0.06816632		0.04978592
wife	0.02004892		0.104550436
only	0.044107623		0.11948621
way	0.044107623		0.069700286
long	0.044107623		0.1244648
so_conjunction	0.08821525		0.069700286
yes	0.028068487		0.029871553
fair	0		0.029871553
little	0.0761859		0.064721696
down	0.044107623		0.04978592
who_relative	0.10425438		0.11948621
sweet	0.044107623		0.019914368
myself	0.028068487		0.07467888
whose	0.08821525		0.064721696
doth	0.12831308		0.004978592
better	0.08019568		0.104550436
god	0.24058703		0.009957184
old	0.05212719		0.04978592
day	0.15638158		0.054764513
best	0.08019568		0.104550436
till	0.04009784		0.04480733
poore	0.08420546		0.054764513
on_adverb	0.10826416		0.014935777
sure	0.02004892		0.04978592
who_interrogative	0.036088053		0.064721696
being	0.06415654		0.054764513
hast	0.024058703		0.059743106
stand	0.048117407		0.09459325
hope	0.03207827		0.08463606
house	0.004009784		0.04978592
comes	0.05212719		0.09957184
since	0.036088053		0.064721696
without	0.024058703		0.069700286
many	0.08821525		0.034850143
against	0.08420546		0.07965747
faith	0.028068487		0.054764513
put	0.056136973		0.059743106
about	0.048117407		0.04480733
leaue	0.04009784		0.07467888
might	0.036088053		0.059743106
brother	0.0761859		0.059743106
friend	0.05212719		0.029871553
none	0.044107623		0.064721696
