chapter,words,vocab,entro,texts
1,2244,854,0.8588092737,Melville: Moby Dick
2,1453,621,0.8756727545,Melville: Moby Dick
3,6000,1613,0.8173372353,Melville: Moby Dick
4,1674,660,0.8673723056,Melville: Moby Dick
5,752,377,0.9141697166,Melville: Moby Dick
6,831,444,0.9051735807,Melville: Moby Dick
7,948,484,0.8989219987,Melville: Moby Dick
8,968,455,0.883503948,Melville: Moby Dick
9,3642,1176,0.8291521937,Melville: Moby Dick
10,1567,620,0.880144295,Melville: Moby Dick
11,732,352,0.9091595023,Melville: Moby Dick
12,890,418,0.896659643,Melville: Moby Dick
13,1730,718,0.8755451871,Melville: Moby Dick
14,764,399,0.9038882415,Melville: Moby Dick
15,1215,516,0.8864859,Melville: Moby Dick
16,5612,1520,0.8281436024,Melville: Moby Dick
17,2345,807,0.859583951,Melville: Moby Dick
18,1390,546,0.8946984176,Melville: Moby Dick
19,1258,421,0.8844496719,Melville: Moby Dick
20,934,414,0.8908078504,Melville: Moby Dick
21,1101,481,0.8998213078,Melville: Moby Dick
22,1677,664,0.8768538395,Melville: Moby Dick
23,371,229,0.9333692506,Melville: Moby Dick
24,1683,698,0.8688762258,Melville: Moby Dick
25,285,164,0.9409910228,Melville: Moby Dick
26,1230,575,0.8926496603,Melville: Moby Dick
27,1700,731,0.8628186457,Melville: Moby Dick
28,1419,613,0.8855294849,Melville: Moby Dick
29,1242,525,0.8862832926,Melville: Moby Dick
30,291,181,0.9250777431,Melville: Moby Dick
31,886,312,0.8894178407,Melville: Moby Dick
32,5206,1497,0.8194639544,Melville: Moby Dick
33,982,466,0.8891846417,Melville: Moby Dick
34,2248,874,0.8577829603,Melville: Moby Dick
35,2632,1028,0.8619927052,Melville: Moby Dick
36,2846,990,0.863230449,Melville: Moby Dick
37,526,299,0.9195476254,Melville: Moby Dick
38,399,232,0.9311047013,Melville: Moby Dick
39,282,165,0.9335255698,Melville: Moby Dick
40,1641,683,0.8960656813,Melville: Moby Dick
41,3808,1317,0.8382198156,Melville: Moby Dick
42,3655,1354,0.8327829164,Melville: Moby Dick
43,318,172,0.9200427181,Melville: Moby Dick
44,2063,807,0.8662307563,Melville: Moby Dick
45,3573,1175,0.8402463886,Melville: Moby Dick
46,1006,468,0.8940804312,Melville: Moby Dick
47,937,444,0.8969812173,Melville: Moby Dick
48,4041,1309,0.8443562766,Melville: Moby Dick
49,845,407,0.8981667369,Melville: Moby Dick
50,1024,465,0.8847687928,Melville: Moby Dick
51,1525,672,0.8846213564,Melville: Moby Dick
52,726,378,0.9132059623,Melville: Moby Dick
53,1656,647,0.8797610001,Melville: Moby Dick
54,8101,2161,0.8097480252,Melville: Moby Dick
55,1918,757,0.8578091775,Melville: Moby Dick
56,1320,575,0.8550294737,Melville: Moby Dick
57,965,491,0.8883311779,Melville: Moby Dick
58,1012,484,0.8823271305,Melville: Moby Dick
59,934,474,0.8957062863,Melville: Moby Dick
60,1492,606,0.8585419503,Melville: Moby Dick
61,1995,817,0.862882492,Melville: Moby Dick
62,572,274,0.8889262996,Melville: Moby Dick
63,474,253,0.9083699321,Melville: Moby Dick
64,3080,989,0.8608962223,Melville: Moby Dick
65,1001,454,0.895141926,Melville: Moby Dick
66,636,341,0.917515667,Melville: Moby Dick
67,742,354,0.8837993718,Melville: Moby Dick
68,1209,506,0.8738375481,Melville: Moby Dick
69,443,256,0.9136228734,Melville: Moby Dick
70,894,458,0.9019060113,Melville: Moby Dick
71,2312,858,0.852318918,Melville: Moby Dick
72,1676,656,0.8744556343,Melville: Moby Dick
73,2229,708,0.8572503489,Melville: Moby Dick
74,1660,613,0.8679689662,Melville: Moby Dick
75,1246,520,0.8807392095,Melville: Moby Dick
76,876,410,0.8840764672,Melville: Moby Dick
77,644,335,0.893260828,Melville: Moby Dick
78,1672,673,0.8683887791,Melville: Moby Dick
79,948,439,0.8849209125,Melville: Moby Dick
80,913,389,0.8740739558,Melville: Moby Dick
81,4452,1418,0.8360696986,Melville: Moby Dick
82,1161,493,0.8694124196,Melville: Moby Dick
83,789,359,0.8845399405,Melville: Moby Dick
84,815,435,0.8979913446,Melville: Moby Dick
