ID	year	author	title	subgenre	genre	form	word_types	size	the	and	i	a	of	you	is	my	it	to_infinitive	in_preposition	not	to_preposition	will_verb	your	me	be	with	but	he	have	this	for_preposition	his	as	all	what	him	thou	are	that_relative	sir	shall	that_demonstrative	if	do	now	by_preposition	we_truePlural	thy	no_adjective	or	they	that_conjunction	she	good	at	thee	would	so_adverbDegree	come	then	am	here	o	how	was	there	her_adjective	them	let	from	more	their	our_truePlural	well	her_personalPronoun	on_preposition	must	may	man	for_conjunction	see	love	when	one	make	yet	which_relative	lord	ye	so_adverbManner	too	know	why	us_truePlural	were	can	should	had	an	than	such	out	upon_preposition	these	never	some	take	say	hath	go	where	like_preposition	up_adverb	did	most	much	give	tell	think	any	nor	mine	has	time	no_exclamation	own	nay	life	men	made	great	been	pray	cannot	thus	into	heart	ever	again	could	still	first	TRUE	away	very	art	both	before	king	nothing	though	lady	aye	hand	those	speak	father	death	look	done	hear	two	in_adverb	name	other	world	wife	only	way	long	so_conjunction	yes	fair	little	down	who_relative	sweet	myself	whose	doth	better	god	old	day	best	till	poore	on_adverb	sure	who_interrogative	being	hast	stand	hope	house	comes	since	without	many	against	faith	put	about	leaue	might	brother	friend	none
1	1607	Beaumont_Francis	Knight_of_the_Burning_Pestle	Burlesque_Romance	comedy	unknown	3223	21105	2.6297085	3.7431889	3.4778488	1.8526416	1.7910448	2.018479	1.2935324	1.487799	1.2651031	0.8623549	0.9997631	0.98554844	0.8007581	1.1608623	0.88604593	1.0234542	0.8670931	0.81023455	0.72020847	0.8623549	0.8813077	0.7865435	0.77706707	0.71547025	0.47382137	0.6491353	0.43117744	0.94764274	0.63965887	0.45960674	0.49277422	0.53067994	0.53067994	0.39327174	0.58280027	0.57332385	0.45960674	0.37431887	0.35536602	0.46908316	0.32219854	0.28903103	0.31746033	0.2084814	0.18479033	0.27007818	0.31272212	0.4169628	0.24638711	0.1753139	0.47382137	0.2795546	0.4169628	0.31746033	0.26533997	0.21795782	0.23691069	0.3790571	0.1705757	0.22743426	0.4453921	0.31746033	0.3506278	0.12793177	0.22743426	0.30324566	0.24638711	0.1753139	0.1753139	0.23217247	0.20374319	0.25586355	0.21321961	0.2795546	0.15636106	0.11845534	0.123193555	0.23217247	0.14214641	0.028429283	0.018952854	0.15636106	0.11845534	0.18005212	0.20374319	0.2084814	0.24638711	0.12793177	0.12793177	0.16583748	0.18479033	0.11845534	0.09002606	0.2084814	0.21795782	0.1374082	0.29376924	0.16583748	0.18479033	0.2416489	0.1753139	0.32219854	0.19900498	0.08528785	0.22743426	0.15636106	0.071073204	0.08528785	0.16109927	0.22743426	0.123193555	0.13266999	0.10897891	0.075811416	0.12793177	0.04738214	0.15162283	0.11371713	0.06633499	0.071073204	0.11845534	0.042643923	0.08528785	0.1374082	0.11845534	0.12793177	0.11371713	0.06633499	0.12793177	0.10897891	0.22269605	0.056858566	0.061596777	0.071073204	0.1042407	0.1705757	0.075811416	0.14214641	0.09476428	0.13266999	0.028429283	0.056858566	0.080549635	0.09476428	0.123193555	0.11845534	0.05212035	0.09950249	0.123193555	0.080549635	0.10897891	0.09002606	0.06633499	0.056858566	0.11845534	0.071073204	0.033167496	0.06633499	0.075811416	0.06633499	0.037905708	0.056858566	0.11845534	0.06633499	0.004738214	0.16583748	0.2084814	0.071073204	0.04738214	0.10897891	0.05212035	0.056858566	0.056858566	0.1042407	0.09002606	0.061596777	0.05212035	0.080549635	0.09002606	0.05212035	0.028429283	0.018952854	0.02369107	0.09950249	0.061596777	0.075811416	0.071073204	0.09476428	0.018952854	0.061596777	0.061596777	0.037905708	0.080549635	0.061596777	0.080549635	0.042643923	0.028429283	0.018952854	0.075811416	0.05212035
2	1641	Brome_Richard	Jovial_Crew	comedy	comedy	mixed	3576	24190	3.1376603	3.3319554	2.534105	2.0835056	1.9636214	2.4142208	1.6246383	1.0004134	1.3311286	1.5419595	1.3766019	0.96320796	0.81852007	0.9342704	1.099628	0.70276976	0.959074	0.892931	0.9342704	0.81852007	0.88879704	0.49193883	0.8557255	0.5952873	0.79371643	0.6738322	0.47540307	0.45473337	0.2397685	0.686234	0.50434065	0.71103764	0.37205458	0.5828855	0.43406367	0.5291443	0.51674247	0.42992973	0.94253826	0.10748243	0.5332782	0.71103764	0.64902854	0.33898306	0.21083093	0.35551882	0.35138488	0.16122365	0.31417942	0.2397685	0.19429517	0.32658124	0.28524184	0.42166185	0.19842911	0.31417942	0.2811079	0.25630426	0.16535759	0.479537	0.28524184	0.22736669	0.2811079	0.4671352	0.51674247	0.2811079	0.24390244	0.24803638	0.24803638	0.27697396	0.14055395	0.090946674	0.27284002	0.090946674	0.19016123	0.21496487	0.13228607	0.13228607	0.2190988	0.033071518	0.14055395	0.24390244	0.2397685	0.21496487	0.11575031	0.48367095	0.22323275	0.22323275	0.14055395	0.21083093	0.14882183	0.2811079	0.22323275	0.23150063	0.24803638	0.13228607	0.18602729	0.17362547	0.17775941	0.26870608	0.012401819	0.13642001	0.13228607	0.070276976	0.17362547	0.078544855	0.14055395	0.095080614	0.10748243	0.12815213	0.22323275	0.12401819	0.18189335	0.10748243	0.2190988	0.062009096	0.053741217	0.15708971	0.074410915	0.086812735	0.041339397	0.078544855	0.099214554	0.14055395	0.17775941	0.066143036	0.024803638	0.12815213	0.078544855	0.095080614	0.13228607	0.13228607	0.074410915	0.070276976	0.074410915	0.13642001	0.062009096	0.074410915	0.074410915	0.19016123	0.024803638	0.037205458	0.11988425	0.012401819	0.045473337	0.028937578	0.078544855	0.090946674	0.057875156	0.020669699	0.095080614	0.041339397	0.15295577	0.070276976	0.045473337	0.037205458	0.070276976	0.049607277	0.033071518	0.12401819	0.12401819	0.074410915	0.049607277	0.074410915	0.020669699	0.074410915	0.066143036	0.066143036	0.041339397	0.053741217	0.020669699	0.00826788	0.070276976	0.016535759	0.21083093	0.049607277	0.070276976	0.13228607	0.020669699	0.020669699	0.10748243	0.057875156	0.045473337	0.016535759	0.024803638	0.053741217	0.16535759	0.066143036	0.066143036	0.082678795	0.062009096	0.033071518	0.00826788	0.057875156	0.037205458	0	0.045473337	0.00826788	0.095080614	0.062009096
3	1601	Chapman_George	All_Fools	comedy	comedy	unknown	3475	19143	2.606697	2.873113	2.4969964	1.9275975	1.650734	2.0216267	1.316408	1.3686465	1.2171551	1.6141671	1.185812	1.0917829	1.0656637	0.825367	1.4052134	0.6111895	0.9037246	0.79924774	0.8776054	0.8776054	0.6999948	0.8149193	0.658204	1.1231259	0.6999948	0.78880006	0.7104425	0.88805306	0.29253513	0.4649219	0.38656428	0.6634279	0.34477356	0.3761166	0.5067126	0.33432585	0.33432585	0.47536957	0.26119208	0.19328214	0.36044508	0.35522124	0.2768636	0.42313117	0.24552056	0.329102	0.38656428	0.19328214	0.39178813	0.329102	0.25596824	0.17238678	0.20895366	0.29775897	0.1253722	0.19850598	0.32387817	0.19328214	0.34477356	0.35522124	0.29253513	0.3029828	0.29253513	0.3395497	0.19850598	0.44402653	0.3761166	0.32387817	0.2141775	0.24029672	0.22462519	0.27163976	0.3761166	0.3029828	0.14626756	0.2507444	0.23507287	0.3029828	0.17238678	0.020895366	0.047014575	0.2141775	0.2141775	0.23507287	0.20895366	0.19850598	0.2141775	0.28208745	0.24029672	0.23507287	0.16193908	0.2141775	0.24552056	0.24029672	0.13059604	0.17761062	0.13581988	0.27163976	0.16193908	0.17761062	0.16716293	0.14626756	0.14626756	0.17238678	0.08358146	0.13059604	0.13581988	0.17761062	0.08358146	0.14626756	0.17761062	0.15671524	0.10447683	0.09402915	0.1253722	0.16193908	0.08880531	0.13059604	0.12014836	0.10447683	0.09402915	0.1253722	0.057462256	0.11492451	0.13059604	0.08358146	0.07835762	0.14104372	0.07313378	0.09925299	0.047014575	0.10447683	0.1880583	0.0626861	0.12014836	0.026119208	0.08880531	0.020895366	0.10970067	0.13581988	0	0.08358146	0.10970067	0.03134305	0.08358146	0.07835762	0.047014575	0.052238416	0.44402653	0.03656689	0.052238416	0.04179073	0.06790994	0.03656689	0.08880531	0.06790994	0.11492451	0.17238678	0.33432585	0.13581988	0.047014575	0.057462256	0.1253722	0.020895366	0.08358146	0.07313378	0.057462256	0.08358146	0.020895366	0.052238416	0.047014575	0.04179073	0.1253722	0.057462256	0.03134305	0.057462256	0.09925299	0.08880531	0.08880531	0.07835762	0.057462256	0.052238416	0.09402915	0.026119208	0.03134305	0.03656689	0.17761062	0.10970067	0.04179073	0.15671524	0.04179073	0.07835762	0.026119208	0.0626861	0.07313378	0.04179073	0.0626861	0.13059604	0.07313378	0.03134305
4	1596	Chapman_George	Blind_Beggar_of_Alexandria	comedy	comedy	unknown	2352	13140	2.8386605	3.3181126	3.4855404	1.4611872	1.7047185	1.9939117	1.1491629	2.0319636	1.0045662	1.3546423	1.217656	0.95129377	1.065449	1.2480974	1.0350076	1.0426179	0.9284627	0.81430745	0.87519026	0.85235924	0.76864535	0.82952815	0.63165903	0.761035	0.79908675	0.456621	0.5707763	0.7762557	0.4870624	0.4718417	0.4718417	0.2587519	0.6392694	0.3805175	0.41856927	0.5251142	0.608828	0.43378997	0.3652968	0.4414003	0.2435312	0.26636225	0.21308981	0.41856927	0.12937595	0.2283105	0.34246576	0.3957382	0.2587519	0.3500761	0.43378997	0.3805175	0.40334857	0.28158295	0.37290716	0.25114155	0.3957382	0.152207	0.22070014	0.25114155	0.304414	0.26636225	0.2587519	0.28158295	0.1978691	0.34246576	0.304414	0.3348554	0.20547946	0.25114155	0.26636225	0.42617962	0.304414	0.6012176	0.19025876	0.19025876	0.19025876	0.14459665	0.2739726	0.3957382	0.0456621	0.2891933	0.1826484	0.2587519	0.28158295	0.2435312	0.14459665	0.1674277	0.2283105	0.15981735	0.15981735	0.15981735	0.17503805	0.21308981	0.1217656	0.152207	0.1978691	0.152207	0.19025876	0.3957382	0.2587519	0.17503805	0.19025876	0.11415525	0.1369863	0.15981735	0.152207	0.12937595	0.0608828	0.20547946	0.12937595	0.11415525	0.1217656	0.1978691	0.0152207	0.0456621	0.0761035	0.08371385	0.09893455	0.14459665	0.12937595	0.0913242	0.11415525	0.0761035	0.12937595	0.053272452	0.15981735	0.106544904	0.11415525	0.0913242	0.08371385	0.053272452	0.0761035	0.106544904	0.0608828	0.02283105	0.06849315	0.053272452	0.152207	0.08371385	0.152207	0.0304414	0.053272452	0.03805175	0.06849315	0.0761035	0.0456621	0.02283105	0.0456621	0.09893455	0.0456621	0.06849315	0.0761035	0.053272452	0.0761035	0.0913242	0.1217656	0.0608828	0.0913242	0.08371385	0.03805175	0.0608828	0.09893455	0	0.053272452	0.08371385	0.03805175	0.03805175	0.03805175	0.08371385	0.03805175	0.12937595	0.09893455	0.0913242	0.0761035	0.02283105	0.03805175	0.09893455	0.09893455	0.03805175	0.0304414	0.0608828	0.0608828	0.0304414	0.053272452	0.0456621	0.03805175	0.0913242	0.0304414	0.053272452	0.02283105	0.053272452	0.0152207	0.08371385	0.0456621	0.12937595	0.0608828	0.03805175	0.0152207	0.053272452
5	1604	Chapman_George	Bussy_DAmbois	Foreign_History	history	unknown	3695	19781	3.1848743	3.4275315	1.7693746	1.7491533	2.2546887	1.2031747	1.3750569	1.7440978	1.2587837	1.0818462	1.6126586	0.9453516	1.1323998	0.7785249	0.96051764	0.82907844	0.667307	0.97568375	0.6723624	0.72291595	0.5510338	0.56114453	0.55608916	1.1475658	0.7633588	0.9857944	0.43476063	0.47014812	0.30332136	0.45498204	0.80885696	0.22243567	0.34881958	0.4954249	0.31848744	0.2628785	0.3235428	0.38926244	0.25782317	0.38926244	0.36398563	0.29826602	0.32859814	0.4600374	0.3791517	0.2628785	0.3336535	0.27298924	0.27298924	0.31343207	0.2527678	0.29826602	0.111217834	0.28309995	0.23760174	0.19715889	0.19715889	0.1617714	0.51564634	0.28309995	0.24771245	0.39431778	0.3336535	0.47014812	0.31343207	0.1263839	0.21738032	0.24771245	0.30837673	0.27298924	0.36398563	0.10110712	0.2628785	0.27298924	0.32859814	0.21738032	0.29321066	0.19210353	0.369041	0.51564634	0.12132855	0.21232496	0.10110712	0.21232496	0.111217834	0.1617714	0.111217834	0.15671603	0.24771245	0.21738032	0.14154997	0.2426571	0.16682675	0.18199281	0.0808857	0.116273195	0.26793388	0.10616248	0.14154997	0.07077499	0.21738032	0.0808857	0.15671603	0.35387492	0.17693746	0.0808857	0.15671603	0.14660533	0.09099641	0.07077499	0.14660533	0.19715889	0.1617714	0.111217834	0.04044285	0.06571963	0.085941054	0.16682675	0.04044285	0.20221424	0.23760174	0.1617714	0.21738032	0.12132855	0.0808857	0.111217834	0.07077499	0.17188211	0.15166068	0.15166068	0.030332137	0.0808857	0.18199281	0.07583034	0.10110712	0.05055356	0.035387494	0.055608917	0.116273195	0.10110712	0.16682675	0.07077499	0.12132855	0.045498203	0.06571963	0.15166068	0.09099641	0.09099641	0.09605177	0.19715889	0.06571963	0.04044285	0.030332137	0.060664274	0.045498203	0.060664274	0.10616248	0.111217834	0.07077499	0.15166068	0.05055356	0.06571963	0.12132855	0.010110713	0.02527678	0.02527678	0.05055356	0.085941054	0.055608917	0.035387494	0.09099641	0.07583034	0.04044285	0.04044285	0.030332137	0.02527678	0.04044285	0.10616248	0.060664274	0.085941054	0.07077499	0.06571963	0.14154997	0.04044285	0.07583034	0.04044285	0.030332137	0.035387494	0.07583034	0.085941054	0.05055356	0.07077499	0.035387494	0.05055356	0.045498203	0.07077499	0.06571963	0.030332137	0.09605177	0.045498203
6	1608	Chapman_George	Byrons_Conspiracy	Tragedy	tragedy	unknown	3488	16441	3.2844718	4.093425	1.849036	1.3077064	2.706648	1.2468828	1.0157533	1.3198711	0.9670945	1.4536829	1.9950125	0.79070616	1.2103887	0.6568943	1.2225534	0.6568943	0.73596495	1.3259534	0.58998847	1.1069887	0.55349433	0.56565905	0.63864726	1.5996594	0.7967885	1.2225534	0.4744237	0.7177179	0.09731768	0.5048355	0.6629767	0.10340004	0.2980354	0.377106	0.3102001	0.19463536	0.21896479	0.45617664	0.29195306	0.054741196	0.32844716	0.273706	0.462259	0.52308255	0.07907061	0.2858707	0.3102001	0.02432942	0.26762363	0.45009428	0.06690591	0.20680007	0.14597653	0.24937657	0.10340004	0.17030594	0.27978835	0.17030594	0.26154128	0.24937657	0.10340004	0.4318472	0.27978835	0.60823554	0.39535308	0.121647105	0.072988264	0.3527766	0.20071772	0.3223648	0.19463536	0.10948239	0.13989417	0.11556475	0.273706	0.1763883	0.32844716	0.29195306	0.48050606	0.3223648	0.02432942	0.11556475	0.10948239	0.13989417	0.04865884	0.17030594	0.22504714	0.20680007	0.13381182	0.188553	0.11556475	0.26154128	0.26154128	0.21896479	0.10948239	0.121647105	0.10340004	0.11556475	0.12772946	0.054741196	0.2858707	0.054741196	0.13989417	0.19463536	0.15814123	0.10340004	0.21896479	0.17030594	0.10948239	0.10948239	0.07907061	0.23721185	0.20071772	0.11556475	0.018247066	0.091235325	0.02432942	0.15814123	0.02432942	0.072988264	0.24329421	0.22504714	0.16422358	0.10948239	0.036494132	0.08515297	0.054741196	0.19463536	0.06690591	0.15814123	0.02432942	0.08515297	0.15205888	0.06690591	0.12772946	0.04865884	0.018247066	0.02432942	0.07907061	0.11556475	0.2858707	0.10948239	0.11556475	0.006082355	0.018247066	0.036494132	0.10948239	0.036494132	0.01216471	0.042576484	0.01216471	0.036494132	0.036494132	0.042576484	0.054741196	0.04865884	0.121647105	0.030411776	0.018247066	0.15814123	0.07907061	0.060823552	0.16422358	0	0.018247066	0.060823552	0.036494132	0.08515297	0	0.060823552	0.09731768	0.10340004	0.036494132	0.01216471	0.030411776	0.030411776	0.06690591	0.054741196	0.054741196	0.060823552	0.042576484	0.01216471	0.12772946	0.01216471	0.054741196	0.060823552	0.018247066	0.036494132	0.054741196	0.072988264	0.042576484	0.07907061	0.042576484	0.07907061	0.06690591	0.07907061	0.072988264	0.02432942	0.09731768	0.072988264
7	1608	Chapman_George	Byrons_Tragedy	Tragedy	tragedy	unknown	3721	18478	3.609698	3.9019375	1.942851	1.2176642	2.657214	1.0986037	1.055309	1.9212036	1.1310748	1.5044918	1.5694339	0.7089512	1.1635458	0.66565645	1.0931919	0.75765777	0.54659593	1.0986037	0.66024464	1.022838	0.74142224	0.5249486	0.6007144	1.5477866	0.51412493	1.0336616	0.38965255	0.6548328	0.07576577	0.4491828	0.81177616	0.043294728	0.34635782	0.34635782	0.33553416	0.12988418	0.29765126	0.54659593	0.27059206	0.12988418	0.3517697	0.2110618	0.37341705	0.66024464	0.1190605	0.24353285	0.32471046	0.032471046	0.32471046	0.476242	0.25435653	0.1840026	0.1190605	0.21647364	0.1190605	0.14070787	0.23270917	0.11364866	0.20023812	0.34635782	0.21647364	0.43835914	0.24353285	0.66024464	0.238121	0.1569434	0.086589456	0.3138868	0.238121	0.23270917	0.238121	0.1569434	0.16235523	0.0920013	0.2651802	0.2651802	0.24353285	0.27059206	0.43835914	0.56283146	0.10823682	0.10282498	0.07576577	0.20023812	0.037882887	0.09741314	0.16776708	0.18941444	0.20023812	0.30847496	0.17317891	0.28141573	0.21647364	0.22729732	0.17859076	0.18941444	0.16235523	0.16235523	0.1190605	0.05953025	0.36259335	0.13529603	0.16776708	0.1840026	0.11364866	0.081177615	0.18941444	0.14070787	0.1190605	0.032471046	0.12447234	0.22188549	0.2110618	0.086589456	0	0.05953025	0.027059205	0.1569434	0	0.17317891	0.19482628	0.2760039	0.11364866	0.1569434	0.05411841	0.05953025	0.043294728	0.20564996	0.037882887	0.086589456	0.06494209	0.10823682	0.0920013	0.07035393	0.09741314	0.043294728	0.043294728	0.010823682	0.09741314	0.07035393	0.30847496	0.06494209	0.086589456	0.027059205	0.037882887	0.086589456	0.0920013	0.04870657	0.043294728	0.23270917	0.043294728	0.037882887	0.05411841	0.05953025	0.06494209	0.027059205	0.1190605	0.12988418	0.010823682	0.1190605	0.032471046	0.05411841	0.081177615	0.005411841	0.032471046	0.05411841	0.06494209	0.10823682	0	0.05411841	0.10282498	0.0920013	0.05411841	0.05411841	0.010823682	0.021647364	0.06494209	0.06494209	0.04870657	0.021647364	0.05411841	0.037882887	0.1190605	0.005411841	0.06494209	0.06494209	0.021647364	0.05411841	0.12988418	0.05953025	0.086589456	0.17317891	0.032471046	0.081177615	0.027059205	0.037882887	0.06494209	0.016235523	0.10823682	0.032471046
8	1602	Chapman_George	Gentleman_Usher	comedy	comedy	unknown	3339	20877	2.054893	2.8452363	3.4104517	1.5279974	1.5279974	2.40935	1.5232073	2.1459022	1.5136274	1.092111	1.1112708	1.1016909	0.7711836	1.2166499	1.3747185	0.9771519	1.0011017	0.80950326	0.8190832	0.6514346	0.57479525	0.84782296	0.7711836	0.74244386	0.70412415	0.68975425	0.5939551	0.6514346	0.28260764	0.3496671	0.47420606	0.38798678	0.4933659	0.46462613	0.5460555	0.4933659	0.52689564	0.36403698	0.30655745	0.26344782	0.44067633	0.24907793	0.21075825	0.21554822	0.3257173	0.3975667	0.22991809	0.14369881	0.40714663	0.32092732	0.35924703	0.3736169	0.19159842	0.28739762	0.47420606	0.33529723	0.2778177	0.23470806	0.21554822	0.15327872	0.31134742	0.24428797	0.23470806	0.17243856	0.29218757	0.52689564	0.26344782	0.31134742	0.31613737	0.19638836	0.24907793	0.24428797	0.3496671	0.40235665	0.19638836	0.17243856	0.28739762	0.22991809	0.25865784	1.1256406	0.07663936	0.28739762	0.24428797	0.29697755	0.23470806	0.17243856	0.18201849	0.26823777	0.20117833	0.12932892	0.16285865	0.114959046	0.17243856	0.25865784	0.16285865	0.21075825	0.14369881	0.22512813	0.21554822	0.16285865	0.081429325	0.114959046	0.16764861	0.14848877	0.124538966	0.13890885	0.16764861	0.19638836	0.10537913	0.11974901	0.23470806	0.19638836	0.124538966	0.057479523	0.07663936	0.06705944	0.11974901	0.04310964	0.22033817	0.24907793	0.10058916	0.07663936	0.071849406	0.07663936	0.2778177	0.09579921	0.12932892	0.047899604	0.06705944	0.15327872	0.047899604	0.08621928	0.114959046	0.07663936	0.14369881	0.057479523	0.124538966	0.03352972	0.091009244	0.08621928	0.028739762	0.10058916	0.07663936	0.10537913	0.10058916	0.047899604	0.04310964	0.11974901	0.13890885	0.10537913	0.03831968	0.071849406	0.023949802	0.047899604	0.06705944	0.047899604	0.07663936	0.052689563	0.062269483	0.10058916	0.028739762	0.03352972	0.10537913	0.062269483	0.071849406	0.09579921	0.071849406	0.014369881	0.03352972	0.047899604	0.03831968	0.00478996	0.03831968	0.091009244	0.057479523	0.06705944	0.11974901	0.06705944	0.091009244	0.04310964	0.04310964	0.06705944	0.114959046	0.03831968	0.047899604	0.10537913	0.052689563	0.08621928	0.052689563	0.06705944	0.03352972	0.01915984	0.062269483	0.071849406	0.06705944	0	0.057479523	0.01915984	0.18680845	0.081429325
9	1597	Chapman_George	Humorous_Days_Mirth	comedy	comedy	prose	2361	16307	2.354817	2.8576684	3.7652543	1.6373336	1.5085546	3.0600355	1.8090391	1.8213037	1.1651438	1.2509965	1.1467468	1.1099528	0.9014534	1.3736433	1.1651438	0.91371804	0.858527	0.7420126	0.9689091	0.895321	0.76654196	0.821733	0.858527	0.6316306	0.62549824	0.50898385	0.9259827	0.4967192	0.34954315	0.5825719	0.47832218	0.68682164	0.5273809	0.38633716	0.4967192	0.5948366	0.38020483	0.30661678	0.30661678	0.16557306	0.38020483	0.40473416	0.2943521	0.30661678	0.39860183	0.53964555	0.33727846	0.23916109	0.3250138	0.36180782	0.5519102	0.31888145	0.31274912	0.31274912	0.4476605	0.3250138	0.24529344	0.34954315	0.34341082	0.26369044	0.26369044	0.12264672	0.25142577	0.19010241	0.15944073	0.54577786	0.38633716	0.14104372	0.23916109	0.19623475	0.34954315	0.26982278	0.41699883	0.2575581	0.19623475	0.22076409	0.22076409	0.22076409	0.17170541	0.44152817	0.006132336	0.21463175	0.14104372	0.28208745	0.5335132	0.22076409	0.28821978	0.2759551	0.23916109	0.06132336	0.22076409	0.11651438	0.15330839	0.11038204	0.15330839	0.14717606	0.14104372	0.11038204	0.20849942	0.28821978	0.31888145	0.43539584	0.20849942	0.085852705	0.11038204	0.14104372	0.14717606	0.17170541	0.06132336	0.25142577	0.12264672	0.19010241	0.09198504	0.067455694	0	0.05519102	0.26982278	0.036794014	0.2575581	0.10424971	0.10424971	0.09198504	0.05519102	0.06132336	0.25142577	0.067455694	0.14104372	0.085852705	0.11038204	0.085852705	0.07358803	0.07972036	0.11038204	0.049058687	0.085852705	0.085852705	0.18397008	0.03066168	0.07972036	0.098117374	0.20849942	0.05519102	0.07972036	0.11651438	0	0.03066168	0.018397007	0.17170541	0.12264672	0.018397007	0.11038204	0.067455694	0.12264672	0.085852705	0.085852705	0.07358803	0.11651438	0.098117374	0.26982278	0.03066168	0.042926352	0.09198504	0.07972036	0.006132336	0.19623475	0.042926352	0.012264672	0.036794014	0.042926352	0.03066168	0.067455694	0.13491139	0.085852705	0.17170541	0.07358803	0.05519102	0.05519102	0.049058687	0.07358803	0.06132336	0.06132336	0.10424971	0.07358803	0.024529343	0.07972036	0.09198504	0.17170541	0.12264672	0.036794014	0.036794014	0.024529343	0.067455694	0.07358803	0.098117374	0.036794014	0.098117374	0.06132336	0	0.024529343	0.09198504
10	1602	Chapman_George	May_Day	comedy	comedy	prose	3408	23087	2.6248538	2.8154373	3.174947	2.2783384	1.793217	2.2263613	1.4120501	1.2604496	1.3557414	1.2431239	1.2864382	1.0698662	0.97457445	1.1261749	0.8402997	1.0655347	0.90093994	0.7320137	0.7363451	0.86628836	0.8099796	0.7969853	0.9096028	0.75800234	0.68003637	0.49378437	0.5370988	0.97890586	0.6670421	0.30320093	0.40715554	1.0265517	0.45913285	0.519773	0.5457617	0.50244725	0.48079005	0.4244813	0.33785248	0.4851215	0.39849266	0.3205267	0.186252	0.2685494	0.5111101	0.519773	0.4548014	0.4764586	0.35950968	0.24689218	0.38549834	0.35517824	0.19058345	0.33352104	0.21224065	0.3118638	0.29453805	0.25555506	0.45913285	0.2772123	0.34218392	0.24256074	0.17325768	0.099623166	0.1559319	0.4548014	0.5457617	0.186252	0.2598865	0.21224065	0.3205267	0.2902066	0.31619525	0.22523499	0.22090355	0.25555506	0.24256074	0.20357777	0.11261749	0.047645863	0.08662884	0.23389786	0.14726903	0.27288085	0.19491489	0.21224065	0.17325768	0.17758912	0.17758912	0.1645948	0.22956643	0.12561181	0.17758912	0.22090355	0.22956643	0.09096028	0.16892624	0.19491489	0.2902066	0.22956643	0.064971626	0.19058345	0.12994325	0.14726903	0.15160047	0.09529173	0.07363451	0.16892624	0.08662884	0.16892624	0.19058345	0.21224065	0.07363451	0.108286045	0.1342747	0.12128037	0.12561181	0.108286045	0.1559319	0.16026334	0.038982976	0.07796595	0.04331442	0.08662884	0.06930307	0.064971626	0.06930307	0.13860615	0.09529173	0.12561181	0.099623166	0.07796595	0.06930307	0.12561181	0.12561181	0.09529173	0.1645948	0.08662884	0.08662884	0.060640186	0.004331442	0.0822974	0.064971626	0.025988651	0.034651536	0.103954606	0.025988651	0.060640186	0.103954606	0.02165721	0.038982976	0.09096028	0.064971626	0.06930307	0.14726903	0.07363451	0.1342747	0.103954606	0.06930307	0.064971626	0.056308746	0.060640186	0.14293759	0.025988651	0.038982976	0.16026334	0.08662884	0.038982976	0.09529173	0.051977303	0.02165721	0.004331442	0.09096028	0.1342747	0.16026334	0.056308746	0.060640186	0.103954606	0.0822974	0.047645863	0.064971626	0.09096028	0.034651536	0.06930307	0.07363451	0.07363451	0.09529173	0.06930307	0.025988651	0.051977303	0.064971626	0.047645863	0.07796595	0.09529173	0.09529173	0.0822974	0.09096028	0.004331442	0.1342747	0.030320093
